identifier,edition,rank
COMBEYS-bc640d-05ed,1507,1198
COMBEYS-bc640d-03a2,913,1197
COMBEYS-bc640d-016f,339,1196
COMBEYS-bc640d-04d5,1224,1195
COMBEYS-bc640d-0529,1309,1194
COMBEYS-bc640d-33,25,1193
COMBEYS-bc640d-0401,1010,1192
COMBEYS-bc640d-0360,847,1191
COMBEYS-bc640d-e2,198,1190
COMBEYS-bc640d-054a,1342,1189
COMBEYS-bc640d-0407,1016,1188
COMBEYS-bc640d-0561,1365,1187
COMBEYS-bc640d-03aa,921,1186
COMBEYS-bc640d-02c9,694,1185
COMBEYS-bc640d-03ad,924,1184
COMBEYS-bc640d-04ed,1249,1183
COMBEYS-bc640d-05dc,1490,1182
COMBEYS-bc640d-0185,362,1181
COMBEYS-bc640d-92,117,1180
COMBEYS-bc640d-031f,781,1179
COMBEYS-bc640d-02ca,695,1178
COMBEYS-bc640d-04ce,1216,1177
COMBEYS-bc640d-79,101,1176
COMBEYS-bc640d-0580,1397,1175
COMBEYS-bc640d-ef,211,1174
COMBEYS-bc640d-02c1,686,1173
COMBEYS-bc640d-01fe,486,1172
COMBEYS-bc640d-0608,1534,1171
COMBEYS-bc640d-018a,367,1170
COMBEYS-bc640d-cf,178,1169
COMBEYS-bc640d-04c1,1203,1168
COMBEYS-bc640d-035e,845,1167
COMBEYS-bc640d-0202,490,1166
COMBEYS-bc640d-01b4,410,1165
COMBEYS-bc640d-0278,613,1164
COMBEYS-bc640d-05d7,1484,1163
COMBEYS-bc640d-47,46,1162
COMBEYS-bc640d-04cd,1215,1161
COMBEYS-bc640d-0572,1383,1160
COMBEYS-bc640d-ae,145,1159
COMBEYS-bc640d-04ca,1212,1158
COMBEYS-bc640d-0458,1098,1157
COMBEYS-bc640d-013f,291,1156
COMBEYS-bc640d-04ee,1250,1155
COMBEYS-bc640d-0544,1336,1154
COMBEYS-bc640d-03fa,1002,1153
COMBEYS-bc640d-021a,515,1152
COMBEYS-bc640d-049e,1168,1151
COMBEYS-bc640d-03d1,961,1150
COMBEYS-bc640d-05d1,1478,1149
COMBEYS-bc640d-0467,1113,1148
COMBEYS-bc640d-3f,38,1147
COMBEYS-bc640d-0613,1545,1146
COMBEYS-bc640d-0189,366,1145
COMBEYS-bc640d-01c1,424,1144
COMBEYS-bc640d-02a9,662,1143
COMBEYS-bc640d-0206,494,1142
COMBEYS-bc640d-04bb,1197,1141
COMBEYS-bc640d-0398,903,1140
COMBEYS-bc640d-0475,1127,1139
COMBEYS-bc640d-05cb,1472,1138
COMBEYS-bc640d-0506,1274,1137
COMBEYS-bc640d-56,64,1136
COMBEYS-bc640d-0252,573,1135
COMBEYS-bc640d-03fc,1005,1134
COMBEYS-bc640d-54,62,1133
COMBEYS-bc640d-048e,1152,1132
COMBEYS-bc640d-ab,142,1131
COMBEYS-bc640d-0120,260,1130
COMBEYS-bc640d-0366,853,1129
COMBEYS-bc640d-0525,1305,1128
COMBEYS-bc640d-f9,221,1127
COMBEYS-bc640d-86,105,1126
COMBEYS-bc640d-04c3,1205,1125
COMBEYS-bc640d-04cb,1213,1124
COMBEYS-bc640d-75,97,1123
COMBEYS-bc640d-03c0,944,1122
COMBEYS-bc640d-ba,157,1121
COMBEYS-bc640d-4a,50,1120
COMBEYS-bc640d-045c,1102,1119
COMBEYS-bc640d-01cb,435,1118
COMBEYS-bc640d-0113,247,1117
COMBEYS-bc640d-02ed,730,1116
COMBEYS-bc640d-022c,535,1115
COMBEYS-bc640d-04f5,1257,1114
COMBEYS-bc640d-011c,256,1113
COMBEYS-bc640d-058c,1409,1112
COMBEYS-bc640d-05cf,1476,1111
COMBEYS-bc640d-03c4,948,1110
COMBEYS-bc640d-024d,568,1109
COMBEYS-bc640d-0370,863,1108
COMBEYS-bc640d-017b,352,1107
COMBEYS-bc640d-041c,1037,1106
COMBEYS-bc640d-0253,574,1105
COMBEYS-bc640d-031a,776,1104
COMBEYS-bc640d-02b6,675,1103
COMBEYS-bc640d-35,27,1102
COMBEYS-bc640d-0538,1324,1101
COMBEYS-bc640d-053d,1329,1100
COMBEYS-bc640d-01ca,434,1099
COMBEYS-bc640d-af,146,1098
COMBEYS-bc640d-0337,805,1097
COMBEYS-bc640d-74,96,1096
COMBEYS-bc640d-0191,374,1095
COMBEYS-bc640d-0512,1286,1094
COMBEYS-bc640d-0390,895,1093
COMBEYS-bc640d-04d1,1219,1092
COMBEYS-bc640d-0266,593,1091
COMBEYS-bc640d-044d,1087,1090
COMBEYS-bc640d-03f4,996,1089
COMBEYS-bc640d-02ea,727,1088
COMBEYS-bc640d-0228,530,1087
COMBEYS-bc640d-044e,1088,1086
COMBEYS-bc640d-02b4,673,1085
COMBEYS-bc640d-0277,612,1084
COMBEYS-bc640d-0612,1544,1083
COMBEYS-bc640d-01e3,459,1082
COMBEYS-bc640d-057f,1396,1081
COMBEYS-bc640d-03c3,947,1080
COMBEYS-bc640d-04d6,1225,1079
COMBEYS-bc640d-013c,288,1078
COMBEYS-bc640d-0539,1325,1077
COMBEYS-bc640d-02ba,679,1076
COMBEYS-bc640d-03eb,987,1075
COMBEYS-bc640d-0290,637,1074
COMBEYS-bc640d-04bc,1198,1073
COMBEYS-bc640d-8f,114,1072
COMBEYS-bc640d-042a,1051,1071
COMBEYS-bc640d-a3,134,1070
COMBEYS-bc640d-42,41,1069
COMBEYS-bc640d-0172,342,1068
COMBEYS-bc640d-0317,772,1067
COMBEYS-bc640d-059a,1423,1066
COMBEYS-bc640d-0524,1304,1065
COMBEYS-bc640d-02fb,744,1064
COMBEYS-bc640d-03b2,929,1063
COMBEYS-bc640d-02df,716,1062
COMBEYS-bc640d-0508,1276,1061
COMBEYS-bc640d-0301,750,1060
COMBEYS-bc640d-04cf,1217,1059
COMBEYS-bc640d-04dd,1232,1058
COMBEYS-bc640d-036c,859,1057
COMBEYS-bc640d-0100,228,1056
COMBEYS-bc640d-04fb,1263,1055
COMBEYS-bc640d-04c9,1211,1054
COMBEYS-bc640d-0151,309,1053
COMBEYS-bc640d-0565,1369,1052
COMBEYS-bc640d-02e6,723,1051
COMBEYS-bc640d-019e,388,1050
COMBEYS-bc640d-0355,836,1049
COMBEYS-bc640d-0587,1404,1048
COMBEYS-bc640d-0415,1030,1047
COMBEYS-bc640d-01aa,400,1046
COMBEYS-bc640d-053e,1330,1045
COMBEYS-bc640d-0226,528,1044
COMBEYS-bc640d-0499,1163,1043
COMBEYS-bc640d-01b7,413,1042
COMBEYS-bc640d-05eb,1505,1041
COMBEYS-bc640d-c1,164,1040
COMBEYS-bc640d-03e0,976,1039
COMBEYS-bc640d-6c,88,1038
COMBEYS-bc640d-0585,1402,1037
COMBEYS-bc640d-0602,1528,1036
COMBEYS-bc640d-0233,542,1035
COMBEYS-bc640d-051f,1299,1034
COMBEYS-bc640d-02e2,719,1033
COMBEYS-bc640d-02d7,708,1032
COMBEYS-bc640d-05fa,1520,1031
COMBEYS-bc640d-01e5,461,1030
COMBEYS-bc640d-0446,1080,1029
COMBEYS-bc640d-04aa,1180,1028
COMBEYS-bc640d-0597,1420,1027
COMBEYS-bc640d-0393,898,1026
COMBEYS-bc640d-05f3,1513,1025
COMBEYS-bc640d-0256,577,1024
COMBEYS-bc640d-03b8,935,1023
COMBEYS-bc640d-04d3,1222,1022
COMBEYS-bc640d-0611,1543,1021
COMBEYS-bc640d-0311,766,1020
COMBEYS-bc640d-0493,1157,1019
COMBEYS-bc640d-0553,1351,1018
COMBEYS-bc640d-045f,1105,1017
COMBEYS-bc640d-021d,518,1016
COMBEYS-bc640d-02b9,678,1015
COMBEYS-bc640d-bb,158,1014
COMBEYS-bc640d-05de,1492,1013
COMBEYS-bc640d-0554,1352,1012
COMBEYS-bc640d-05be,1459,1011
COMBEYS-bc640d-0365,852,1010
COMBEYS-bc640d-02d9,710,1009
COMBEYS-bc640d-02b8,677,1008
COMBEYS-bc640d-05b5,1450,1007
COMBEYS-bc640d-0213,508,1006
COMBEYS-bc640d-b2,149,1005
COMBEYS-bc640d-02bb,680,1004
COMBEYS-bc640d-0435,1063,1003
COMBEYS-bc640d-049d,1167,1002
COMBEYS-bc640d-98,123,1001
COMBEYS-bc640d-0148,300,1000
COMBEYS-bc640d-04f1,1253,999
COMBEYS-bc640d-037b,874,998
COMBEYS-bc640d-7f,47,997
COMBEYS-bc640d-04f2,1254,996
COMBEYS-bc640d-05a4,1433,995
COMBEYS-bc640d-0203,491,994
COMBEYS-bc640d-0557,1355,993
COMBEYS-bc640d-d6,185,992
COMBEYS-bc640d-0235,544,991
COMBEYS-bc640d-9c,127,990
COMBEYS-bc640d-0274,609,989
COMBEYS-bc640d-02a3,656,988
COMBEYS-bc640d-04ea,1246,987
COMBEYS-bc640d-f3,215,986
COMBEYS-bc640d-02d3,704,985
COMBEYS-bc640d-046e,1120,984
COMBEYS-bc640d-d5,184,983
COMBEYS-bc640d-022a,532,982
COMBEYS-bc640d-da,189,981
COMBEYS-bc640d-016d,337,980
COMBEYS-bc640d-047e,1136,979
COMBEYS-bc640d-015e,321,978
COMBEYS-bc640d-01f3,475,977
COMBEYS-bc640d-0221,522,976
COMBEYS-bc640d-9d,128,975
COMBEYS-bc640d-01e7,463,974
COMBEYS-bc640d-0563,1367,973
COMBEYS-bc640d-04d2,1220,972
COMBEYS-bc640d-020e,502,971
COMBEYS-bc640d-28,14,970
COMBEYS-bc640d-034d,828,969
COMBEYS-bc640d-b9,156,968
COMBEYS-bc640d-0146,298,967
COMBEYS-bc640d-0289,630,966
COMBEYS-bc640d-04a3,1173,965
COMBEYS-bc640d-044c,1086,964
COMBEYS-bc640d-0107,235,963
COMBEYS-bc640d-027e,619,962
COMBEYS-bc640d-052f,1315,961
COMBEYS-bc640d-0314,769,960
COMBEYS-bc640d-02ae,667,959
COMBEYS-bc640d-012c,272,958
COMBEYS-bc640d-d9,188,957
COMBEYS-bc640d-02b7,676,956
COMBEYS-bc640d-0241,556,955
COMBEYS-bc640d-041e,1039,954
COMBEYS-bc640d-01fd,485,953
COMBEYS-bc640d-0552,1350,952
COMBEYS-bc640d-059b,1424,951
COMBEYS-bc640d-02e3,720,950
COMBEYS-bc640d-01eb,467,949
COMBEYS-bc640d-02f5,738,948
COMBEYS-bc640d-43,42,947
COMBEYS-bc640d-02ff,748,946
COMBEYS-bc640d-01cd,437,945
COMBEYS-bc640d-0186,363,944
COMBEYS-bc640d-03cf,959,943
COMBEYS-bc640d-056c,1377,942
COMBEYS-bc640d-04da,1229,941
COMBEYS-bc640d-c9,172,940
COMBEYS-bc640d-0264,591,939
COMBEYS-bc640d-02f8,741,938
COMBEYS-bc640d-0368,855,937
COMBEYS-bc640d-0578,1389,936
COMBEYS-bc640d-02f4,737,935
COMBEYS-bc640d-05e5,1499,934
COMBEYS-bc640d-0573,1384,933
COMBEYS-bc640d-0237,546,932
COMBEYS-bc640d-049f,1169,931
COMBEYS-bc640d-048d,1151,930
COMBEYS-bc640d-037d,876,929
COMBEYS-bc640d-042c,1053,928
COMBEYS-bc640d-03a8,919,927
COMBEYS-bc640d-01bf,422,926
COMBEYS-bc640d-0273,608,925
COMBEYS-bc640d-024e,569,924
COMBEYS-bc640d-0560,1364,923
COMBEYS-bc640d-02b1,670,922
COMBEYS-bc640d-0377,870,921
COMBEYS-bc640d-01bc,419,920
COMBEYS-bc640d-05c4,1465,919
COMBEYS-bc640d-04f6,1258,918
COMBEYS-bc640d-0438,1066,917
COMBEYS-bc640d-03d2,962,916
COMBEYS-bc640d-01d3,443,915
COMBEYS-bc640d-6e,90,914
COMBEYS-bc640d-0520,1300,913
COMBEYS-bc640d-0243,558,912
COMBEYS-bc640d-0510,1284,911
COMBEYS-bc640d-0421,1042,910
COMBEYS-bc640d-04bd,1199,909
COMBEYS-bc640d-02bc,681,908
COMBEYS-bc640d-03be,942,907
COMBEYS-bc640d-9b,126,906
COMBEYS-bc640d-047d,1135,905
COMBEYS-bc640d-032d,795,904
COMBEYS-bc640d-0522,1302,903
COMBEYS-bc640d-04ff,1267,902
COMBEYS-bc640d-0255,576,901
COMBEYS-bc640d-fd,225,900
COMBEYS-bc640d-02dd,714,899
COMBEYS-bc640d-02a8,661,898
COMBEYS-bc640d-01a1,391,897
COMBEYS-bc640d-07,506,896
COMBEYS-bc640d-02d5,706,895
COMBEYS-bc640d-0140,292,894
COMBEYS-bc640d-0404,1013,893
COMBEYS-bc640d-04b9,1195,892
COMBEYS-bc640d-0432,1060,891
COMBEYS-bc640d-0271,606,890
COMBEYS-bc640d-0495,1159,889
COMBEYS-bc640d-0474,1126,888
COMBEYS-bc640d-03,349,887
COMBEYS-bc640d-0536,1322,886
COMBEYS-bc640d-0471,1123,885
COMBEYS-bc640d-0452,1092,884
COMBEYS-bc640d-0183,360,883
COMBEYS-bc640d-9a,125,882
COMBEYS-bc640d-01e6,462,881
COMBEYS-bc640d-0229,531,880
COMBEYS-bc640d-0454,1094,879
COMBEYS-bc640d-04b3,1189,878
COMBEYS-bc640d-0165,329,877
