identifier,edition,rank,owner
COMBEYS-bc640d-05b3,1448,267.0,erd1c7ag50xxcsrw5vtpjgx8d5a957rnck5xdrvr9ah8wgr7j4nv083s8kq3nj
COMBEYS-bc640d-05b2,1447,477.0,erd1m5p6lqtelhld47vwpxdhnu0c4hdcke73yegsullwmtn75ge5kpxq2d52mu
COMBEYS-bc640d-05b1,1446,415.0,erd1x3nqzfwu88hljtw4px6c6txykmcddpg86e4cwaqjxel6zwn52gcq29ffht
COMBEYS-bc640d-05b0,1445,626.0,erd1x3nqzfwu88hljtw4px6c6txykmcddpg86e4cwaqjxel6zwn52gcq29ffht
COMBEYS-bc640d-05af,1444,467.0,erd18cesq9rs8dxf9h2zh9qp0myycf5739mlynfur47grmt6puy3eteqtka6xa
COMBEYS-bc640d-05ae,1443,117.0,erd1x3nqzfwu88hljtw4px6c6txykmcddpg86e4cwaqjxel6zwn52gcq29ffht
COMBEYS-bc640d-05ad,1442,404.0,erd1azydwvvwd8hwsld4a737ldvnkmxjugxemsxcd8us7swql04une7sfhh57k
COMBEYS-bc640d-05ac,1441,692.0,erd1mg3u5fm0d4rquxpr7hxt096507ze4j4xpngfuweynewc9cphgy8q4y972q
COMBEYS-bc640d-05ab,1440,849.0,erd1ajdwv3kexfzf8c49h6gnttgtju7jz2p6efrsvf9eg3rcgk8z9sssuncmdz
COMBEYS-bc640d-05aa,1439,317.0,erd14jm6swhn9lu4m9634hkvgdhtq4vyaf0dutk9w47ma06vk3yh7t2s9c4ng5
COMBEYS-bc640d-05a9,1438,266.0,erd1w8j0meqp0dxuk67me72hrhdtarx9u3kmwxtjvncp89s720wqvl8sj7lfmd
COMBEYS-bc640d-05a8,1437,151.0,erd159mypt4myss3mqrs89ft0hjeacffks2690gq9u3mlh73m9sh0w5s09eqhh
COMBEYS-bc640d-05a7,1436,1534.0,erd1n3jynejfgxmakkjdn8uqv042ug5j436t8tn3l4sk403n63qwmdusp4t3r0
COMBEYS-bc640d-05a6,1435,776.0,erd10xl2wh9envwdkhl452gtms4uzqe6xgsntzpqvpucrzs054d9es8qy7f70p
COMBEYS-bc640d-05a5,1434,537.0,erd1wntft3qs5f0zysvhfakdf9tz4hcl9526urh79call8l2y8vx8afqkpmyse
