identifier,rank,edition
COMBEYS-bc640d-33,1193,25
COMBEYS-bc640d-0401,1192,1010
COMBEYS-bc640d-0360,1191,847
COMBEYS-bc640d-e2,1190,198
COMBEYS-bc640d-054a,1189,1342
COMBEYS-bc640d-0407,1188,1016
COMBEYS-bc640d-0561,1187,1365
COMBEYS-bc640d-03aa,1186,921
COMBEYS-bc640d-02c9,1185,694
COMBEYS-bc640d-03ad,1184,924
COMBEYS-bc640d-04ed,1183,1249
COMBEYS-bc640d-05dc,1182,1490
COMBEYS-bc640d-0185,1181,362
COMBEYS-bc640d-92,1180,117
COMBEYS-bc640d-031f,1179,781
COMBEYS-bc640d-02ca,1178,695
COMBEYS-bc640d-04ce,1177,1216
COMBEYS-bc640d-79,1176,101
COMBEYS-bc640d-0580,1175,1397
COMBEYS-bc640d-ef,1174,211
COMBEYS-bc640d-02c1,1173,686
COMBEYS-bc640d-01fe,1172,486
COMBEYS-bc640d-0608,1171,1534
COMBEYS-bc640d-018a,1170,367
COMBEYS-bc640d-cf,1169,178
COMBEYS-bc640d-04c1,1168,1203
COMBEYS-bc640d-035e,1167,845
COMBEYS-bc640d-0202,1166,490
COMBEYS-bc640d-01b4,1165,410
COMBEYS-bc640d-0278,1164,613
COMBEYS-bc640d-05d7,1163,1484
COMBEYS-bc640d-47,1162,46
COMBEYS-bc640d-04cd,1161,1215
COMBEYS-bc640d-0572,1160,1383
COMBEYS-bc640d-ae,1159,145
COMBEYS-bc640d-04ca,1158,1212
COMBEYS-bc640d-0458,1157,1098
COMBEYS-bc640d-013f,1156,291
COMBEYS-bc640d-04ee,1155,1250
COMBEYS-bc640d-0544,1154,1336
COMBEYS-bc640d-03fa,1153,1002
COMBEYS-bc640d-021a,1152,515
COMBEYS-bc640d-049e,1151,1168
COMBEYS-bc640d-03d1,1150,961
COMBEYS-bc640d-05d1,1149,1478
COMBEYS-bc640d-0467,1148,1113
COMBEYS-bc640d-3f,1147,38
COMBEYS-bc640d-0613,1146,1545
COMBEYS-bc640d-0189,1145,366
COMBEYS-bc640d-01c1,1144,424
COMBEYS-bc640d-02a9,1143,662
COMBEYS-bc640d-0206,1142,494
COMBEYS-bc640d-04bb,1141,1197
COMBEYS-bc640d-0398,1140,903
COMBEYS-bc640d-0475,1139,1127
COMBEYS-bc640d-05cb,1138,1472
COMBEYS-bc640d-0506,1137,1274
COMBEYS-bc640d-56,1136,64
COMBEYS-bc640d-0252,1135,573
COMBEYS-bc640d-03fc,1134,1005
COMBEYS-bc640d-54,1133,62
COMBEYS-bc640d-048e,1132,1152
COMBEYS-bc640d-ab,1131,142
COMBEYS-bc640d-0120,1130,260
COMBEYS-bc640d-0366,1129,853
COMBEYS-bc640d-0525,1128,1305
COMBEYS-bc640d-f9,1127,221
COMBEYS-bc640d-86,1126,105
COMBEYS-bc640d-04c3,1125,1205
COMBEYS-bc640d-04cb,1124,1213
COMBEYS-bc640d-75,1123,97
COMBEYS-bc640d-03c0,1122,944
COMBEYS-bc640d-ba,1121,157
COMBEYS-bc640d-4a,1120,50
COMBEYS-bc640d-045c,1119,1102
COMBEYS-bc640d-01cb,1118,435
COMBEYS-bc640d-0113,1117,247
COMBEYS-bc640d-02ed,1116,730
COMBEYS-bc640d-022c,1115,535
COMBEYS-bc640d-04f5,1114,1257
COMBEYS-bc640d-011c,1113,256
COMBEYS-bc640d-058c,1112,1409
COMBEYS-bc640d-05cf,1111,1476
COMBEYS-bc640d-03c4,1110,948
COMBEYS-bc640d-024d,1109,568
COMBEYS-bc640d-0370,1108,863
COMBEYS-bc640d-017b,1107,352
COMBEYS-bc640d-041c,1106,1037
COMBEYS-bc640d-0253,1105,574
COMBEYS-bc640d-031a,1104,776
COMBEYS-bc640d-02b6,1103,675
COMBEYS-bc640d-35,1102,27
COMBEYS-bc640d-0538,1101,1324
COMBEYS-bc640d-053d,1100,1329
COMBEYS-bc640d-01ca,1099,434
COMBEYS-bc640d-af,1098,146
COMBEYS-bc640d-0337,1097,805
COMBEYS-bc640d-74,1096,96
COMBEYS-bc640d-0191,1095,374
COMBEYS-bc640d-0512,1094,1286
COMBEYS-bc640d-0390,1093,895
COMBEYS-bc640d-04d1,1092,1219
COMBEYS-bc640d-0266,1091,593
COMBEYS-bc640d-044d,1090,1087
COMBEYS-bc640d-03f4,1089,996
COMBEYS-bc640d-02ea,1088,727
COMBEYS-bc640d-0228,1087,530
COMBEYS-bc640d-044e,1086,1088
COMBEYS-bc640d-02b4,1085,673
COMBEYS-bc640d-0277,1084,612
COMBEYS-bc640d-0612,1083,1544
COMBEYS-bc640d-01e3,1082,459
COMBEYS-bc640d-057f,1081,1396
COMBEYS-bc640d-03c3,1080,947
COMBEYS-bc640d-04d6,1079,1225
COMBEYS-bc640d-013c,1078,288
COMBEYS-bc640d-0539,1077,1325
COMBEYS-bc640d-02ba,1076,679
COMBEYS-bc640d-03eb,1075,987
COMBEYS-bc640d-0290,1074,637
COMBEYS-bc640d-04bc,1073,1198
COMBEYS-bc640d-8f,1072,114
COMBEYS-bc640d-042a,1071,1051
COMBEYS-bc640d-a3,1070,134
COMBEYS-bc640d-42,1069,41
COMBEYS-bc640d-0172,1068,342
COMBEYS-bc640d-0317,1067,772
COMBEYS-bc640d-059a,1066,1423
COMBEYS-bc640d-0524,1065,1304
COMBEYS-bc640d-02fb,1064,744
COMBEYS-bc640d-03b2,1063,929
COMBEYS-bc640d-02df,1062,716
COMBEYS-bc640d-0508,1061,1276
COMBEYS-bc640d-0301,1060,750
COMBEYS-bc640d-04cf,1059,1217
COMBEYS-bc640d-04dd,1058,1232
COMBEYS-bc640d-036c,1057,859
COMBEYS-bc640d-0100,1056,228
COMBEYS-bc640d-04fb,1055,1263
COMBEYS-bc640d-04c9,1054,1211
COMBEYS-bc640d-0151,1053,309
COMBEYS-bc640d-0565,1052,1369
COMBEYS-bc640d-02e6,1051,723
COMBEYS-bc640d-019e,1050,388
COMBEYS-bc640d-0355,1049,836
